month,obd_ssa_filled_mm,gmsl_scientific_mm,barystatic_scientific_mm,steric_scientific_mm,budget_sum_scientific_mm,panel_a_gmsl_unshifted_mm,panel_a_gmsl_display_mm,panel_a_barystatic_unshifted_mm,panel_a_barystatic_display_mm,panel_a_steric_unshifted_mm,panel_a_steric_display_mm,panel_a_budget_sum_unshifted_mm,panel_a_budget_sum_display_mm,panel_b_gmsl_unshifted_mm,panel_b_gmsl_display_mm,panel_b_barystatic_unshifted_mm,panel_b_barystatic_display_mm,panel_b_steric_unshifted_mm,panel_b_steric_display_mm,panel_b_budget_sum_unshifted_mm,panel_b_budget_sum_display_mm
2017-11,0.10889826171205724,80.77171405596647,18.873343750334485,-0.4179924435447901,18.455351306789694,-3.8772001070386666,-3.8772001070386666,-6.7377086686962615,-20.73770866869626,-3.2497981832641405,-25.24979818326414,-9.987506851960402,-9.987506851960402,0.8041538934035202,0.8041538934035202,-4.281561302872597,-9.281561302872596,-1.084750245402845,-12.084750245402844,-5.366311548275442,-5.366311548275442
2017-12,0.40115717554880326,79.16640356891361,13.564230807186624,-0.7261349819600582,12.838095825226565,-2.005114452366334,-2.005114452366334,-5.87358932319463,-19.87358932319463,-3.3934034678774574,-25.39340346787746,-9.266992791072086,-9.266992791072086,2.4064357854051357,2.4064357854051357,-3.5589802878086676,-8.558980287808668,-1.3531367144527982,-12.353136714452798,-4.912117002261464,-4.912117002261464
2018-01,0.6204165662985092,77.30266475584513,10.742388944894179,1.0717513505369425,11.814140295431121,-2.380869604882336,-2.380869604882336,-5.182427094541592,-19.18242709454159,-3.803120710940813,-25.803120710940814,-8.985547805482403,-8.985547805482403,1.7608727589859972,1.7608727589859972,-3.0093871886503503,-8.00938718865035,-1.8876347931544832,-12.887634793154483,-4.897021981804832,-4.897021981804832
2018-02,0.7714588658610916,75.32959579254049,10.418565717913674,3.4034389536827803,13.822004671596455,-3.6264268292875776,-3.6264268292875776,-4.673698566049087,-18.673698566049087,-3.2927583071630746,-25.292758307163076,-7.9664568732121595,-7.9664568732121595,0.25137027862749434,0.25137027862749434,-2.639170955767242,-7.639170955767241,-1.4993403630936835,-12.499340363093683,-4.138511318860924,-4.138511318860924
2018-03,0.9141202039427916,74.05202908923486,10.988443009410446,7.290772162377834,18.27921517178828,-4.474719337992531,-4.474719337992531,-4.165579163151606,-18.165579163151605,-2.9322033128251364,-24.932203312825138,-7.09778247597674,-7.09778247597674,-0.8608551523334637,-0.8608551523334637,-2.2694714513080942,-7.269471451308094,-1.260854388867602,-12.260854388867601,-3.5303258401756947,-3.5303258401756947
2018-04,1.0220298671080998,73.86121859709618,11.901770705663102,8.279896341264248,20.181667046927352,-4.500306338155844,-4.500306338155844,-3.4352144975035324,-17.435214497503534,-3.4265891599440668,-25.426589159944065,-6.8618036574476,-6.8618036574476,-1.1474560994748566,-1.1474560994748566,-1.6760906643266247,-6.676090664326624,-1.8759517787426616,-12.875951778742662,-3.5520424430692863,-3.5520424430692863
2018-05,0.9565478397728224,73.15483668062065,14.702779977853218,5.075322464108467,19.778102441961686,-3.9051893348703346,-3.9051893348703346,-3.5939222239449315,-17.593922223944933,-3.568280815891216,-25.568280815891217,-7.162203039836149,-7.162203039836149,-0.8221428588600652,-0.8221428588600652,-1.9763367212057248,-6.976336721205724,-2.142424619126447,-13.142424619126448,-4.118761340332173,-4.118761340332173
2018-06,0.583346856126108,73.44192064723345,18.625706519180763,3.4404476173222065,22.06615413650297,-3.6586019804181844,-3.6586019804181844,-3.4642545821695467,-17.464254582169545,-3.328018807223998,-25.328018807223998,-6.7922733893935465,-6.7922733893935465,-0.8424320693361138,-0.8424320693361138,-1.9867097919823995,-6.986709791982399,-2.025587015136863,-13.025587015136864,-4.012296807119264,-4.012296807119264
2018-07,0.11091870747359076,76.25570232056535,27.969435465824535,0.5992355872876942,28.56867105311223,-3.775046845008221,-3.775046845008221,-3.5159555517254333,-17.515955551725433,-2.8614560984406676,-24.86145609844067,-6.377411650166102,-6.377411650166102,-1.2286806965971109,-1.2286806965971109,-2.179949091976113,-7.179949091976113,-1.6838054907902815,-12.68380549079028,-3.8637545827663957,-3.8637545827663957
2018-08,-0.33080808782107796,79.3344558523478,31.51267510369367,-3.364484291523695,28.148190812169975,-3.9397895918619112,-3.9397895918619112,-2.7502974582792814,-16.75029745827928,-3.0118978258652724,-25.011897825865272,-5.762195284144553,-5.762195284144553,-1.663231317353938,-1.663231317353938,-1.5558601280246858,-6.555860128024686,-1.959028053853216,-12.959028053853217,-3.514888181877901,-3.514888181877901
