month,jpl_ocean_mass_reference_mm,jpl_ocean_mass_uncertainty_mean_mm,source_time_days,ocean_cell_count,original_jpl_ocean_mass_reference_mm,filled_jpl_ocean_mass_reference_mm,fill_status,ssa_category,ssa_M,ssa_K
2018-10,30.25730425221203,15.45297665793172,6147.5,121253,30.25730425221203,30.25730425221203,observed,observed,,
2018-11,25.199458410926354,14.611272737500334,6163.0,121253,25.199458410926354,25.199458410926354,observed,observed,,
2018-12,16.204588987926922,14.633691633334903,6193.5,121253,16.204588987926922,16.204588987926922,observed,observed,,
2019-01,18.973781788231282,14.707491304529567,6224.5,121253,18.973781788231282,18.973781788231282,observed,observed,,
2019-02,16.487860686931775,15.223745739712935,6253.0,121253,16.487860686931775,16.487860686931775,observed,observed,,
2019-03,21.6335567370599,14.660488857905406,6283.5,121253,21.6335567370599,21.6335567370599,observed,observed,,
2019-04,20.064571226406773,14.685825667339262,6314.0,121253,20.064571226406773,20.064571226406773,observed,observed,,
2019-05,20.062736856174308,14.672078005678825,6344.5,121253,20.062736856174308,20.062736856174308,observed,observed,,
2019-06,33.15096491053479,14.729463451665662,6375.0,121253,33.15096491053479,33.15096491053479,observed,observed,,
2019-07,41.76579107439536,14.700032347730254,6405.5,121253,41.76579107439536,41.76579107439536,observed,observed,,
2019-08,41.9666295920201,14.743045659851424,6436.5,121253,41.9666295920201,41.9666295920201,observed,observed,,
2019-09,45.40235662893736,14.802278823749232,6467.0,121253,45.40235662893736,45.40235662893736,observed,observed,,
2019-10,36.43404707294026,14.658936044771504,6497.5,121253,36.43404707294026,36.43404707294026,observed,observed,,
2019-11,27.413639471101952,14.616811395698258,6528.0,121253,27.413639471101952,27.413639471101952,observed,observed,,
2019-12,24.605485530761705,14.624631259276315,6558.5,121253,24.605485530761705,24.605485530761705,observed,observed,,
2020-01,22.42511989555043,15.023115379529184,6589.5,121253,22.42511989555043,22.42511989555043,observed,observed,,
2020-02,19.278971881719514,15.09271787539959,6619.5,121253,19.278971881719514,19.278971881719514,observed,observed,,
2020-03,24.34223619966459,14.606083891962095,6649.5,121253,24.34223619966459,24.34223619966459,observed,observed,,
2020-04,17.54739780297662,14.759192940894517,6680.0,121253,17.54739780297662,17.54739780297662,observed,observed,,
2020-05,20.996272884523446,14.693412302844227,6710.5,121253,20.996272884523446,20.996272884523446,observed,observed,,
2020-06,34.190642336793694,14.765078118272262,6741.0,121253,34.190642336793694,34.190642336793694,observed,observed,,
2020-07,42.75063695857561,14.719637957936484,6771.5,121253,42.75063695857561,42.75063695857561,observed,observed,,
