month,gsfc_ocean_mass_reference_mm,source_decimal_year,ocean_mascon_count,original_gsfc_ocean_mass_reference_mm,filled_gsfc_ocean_mass_reference_mm,fill_status,ssa_category,ssa_M,ssa_K
2020-12,26.60097230688474,2020.9577,23417,26.60097230688474,26.60097230688474,observed,observed,,
2021-01,20.114234845584296,2021.0425,23417,20.114234845584296,20.114234845584296,observed,observed,,
2021-02,18.685615565662335,2021.1233,23417,18.685615565662335,18.685615565662335,observed,observed,,
2021-03,22.034957863571417,2021.2041,23417,22.034957863571417,22.034957863571417,observed,observed,,
2021-04,18.42404379370757,2021.2877,23417,18.42404379370757,18.42404379370757,observed,observed,,
2021-05,22.831990052077916,2021.3712,23417,22.831990052077916,22.831990052077916,observed,observed,,
2021-06,32.033401205626916,2021.4548,23417,32.033401205626916,32.033401205626916,observed,observed,,
2021-07,39.10497559069924,2021.5384,23417,39.10497559069924,39.10497559069924,observed,observed,,
2021-08,45.79283466755053,2021.6233,23417,45.79283466755053,45.79283466755053,observed,observed,,
2021-09,45.69593432118452,2021.7068,23417,45.69593432118452,45.69593432118452,observed,observed,,
2021-10,42.7163117292487,2021.7904,23417,42.7163117292487,42.7163117292487,observed,observed,,
2021-11,37.64890657212508,2021.874,23417,37.64890657212508,37.64890657212508,observed,observed,,
2021-12,31.87228919015543,2021.9575,23417,31.87228919015543,31.87228919015543,observed,observed,,
2022-01,22.243444006859786,2022.0425,23417,22.243444006859786,22.243444006859786,observed,observed,,
2022-02,20.38863308264698,2022.1233,23417,20.38863308264698,20.38863308264698,observed,observed,,
2022-03,21.12497454053875,2022.2041,23417,21.12497454053875,21.12497454053875,observed,observed,,
2022-04,22.048744011761347,2022.2877,23417,22.048744011761347,22.048744011761347,observed,observed,,
2022-05,21.651686077827772,2022.3712,23417,21.651686077827772,21.651686077827772,observed,observed,,
2022-06,31.081791731292455,2022.4548,23417,31.081791731292455,31.081791731292455,observed,observed,,
2022-07,45.114652667910015,2022.5384,23417,45.114652667910015,45.114652667910015,observed,observed,,
2022-08,45.15590240286709,2022.6233,23417,45.15590240286709,45.15590240286709,observed,observed,,
2022-09,45.154285031872874,2022.7068,23417,45.154285031872874,45.154285031872874,observed,observed,,
2022-10,37.622257872326,2022.7904,23417,37.622257872326,37.622257872326,observed,observed,,
2022-11,35.18698116719257,2022.874,23417,35.18698116719257,35.18698116719257,observed,observed,,
2022-12,24.65100323246731,2022.9575,23417,24.65100323246731,24.65100323246731,observed,observed,,
2023-01,20.539372612756498,2023.0425,23417,20.539372612756498,20.539372612756498,observed,observed,,
2023-02,17.09988137119387,2023.1233,23417,17.09988137119387,17.09988137119387,observed,observed,,
2023-03,20.90715593890315,2023.2041,23417,20.90715593890315,20.90715593890315,observed,observed,,
2023-04,17.065003516218574,2023.2877,23417,17.065003516218574,17.065003516218574,observed,observed,,
2023-05,22.85335753209278,2023.3712,23417,22.85335753209278,22.85335753209278,observed,observed,,
2023-06,35.13540162644384,2023.4548,23417,35.13540162644384,35.13540162644384,observed,observed,,
2023-07,45.30878457009634,2023.5384,23417,45.30878457009634,45.30878457009634,observed,observed,,
2023-08,49.4816584568298,2023.6233,23417,49.4816584568298,49.4816584568298,observed,observed,,
2023-09,47.706916760743695,2023.7068,23417,47.706916760743695,47.706916760743695,observed,observed,,
2023-10,50.738780498586515,2023.7904,23417,50.738780498586515,50.738780498586515,observed,observed,,
2023-11,45.0072569276001,2023.874,23417,45.0072569276001,45.0072569276001,observed,observed,,
2023-12,35.02991970719908,2023.9575,23417,35.02991970719908,35.02991970719908,observed,observed,,
2024-01,28.21074394279675,2024.0423,23417,28.21074394279675,28.21074394279675,observed,observed,,
2024-02,24.056797080763296,2024.1243,23417,24.056797080763296,24.056797080763296,observed,observed,,
2024-03,29.978958188757623,2024.2063,23417,29.978958188757623,29.978958188757623,observed,observed,,
2024-04,33.942331725402425,2024.2896,23417,33.942331725402425,33.942331725402425,observed,observed,,
2024-05,32.99254068892875,2024.373,23417,32.99254068892875,32.99254068892875,observed,observed,,
2024-06,40.10325638316573,2024.4563,23417,40.10325638316573,40.10325638316573,observed,observed,,
2024-07,42.72123837520399,2024.5396,23417,42.72123837520399,42.72123837520399,observed,observed,,
2024-08,43.55524097948907,2024.6243,23417,43.55524097948907,43.55524097948907,observed,observed,,
2024-09,49.47890106015758,2024.7077,23417,49.47890106015758,49.47890106015758,observed,observed,,
2024-10,40.73047548438313,2024.791,23417,40.73047548438313,40.73047548438313,observed,observed,,
