month,jpl_ocean_mass_reference_mm,jpl_ocean_mass_uncertainty_mean_mm,source_time_days,ocean_cell_count,original_jpl_ocean_mass_reference_mm,filled_jpl_ocean_mass_reference_mm,fill_status,ssa_category,ssa_M,ssa_K
2015-09,37.58790495734315,14.247251232296444,5004.5,121253,37.58790495734315,37.58790495734315,observed,observed,,
2015-10,nan,nan,nan,0,nan,32.587303953876805,filled,SSA-filling-a,24,10
2015-11,nan,nan,nan,0,nan,26.792706931885824,filled,SSA-filling-a,24,10
2015-12,19.348975982933332,14.598725149928446,5104.5,121253,19.348975982933332,19.348975982933332,observed,observed,,
2016-01,15.374982924773159,14.169700451264402,5128.5,121253,15.374982924773159,15.374982924773159,observed,observed,,
2016-02,16.819001116803424,13.69836764987816,5157.0,121253,16.819001116803424,16.819001116803424,observed,observed,,
2016-03,21.999081632803325,13.993063210570226,5188.5,121253,21.999081632803325,21.999081632803325,observed,observed,,
2016-04,nan,nan,nan,0,nan,18.76352575662007,filled,SSA-filling-a,24,10
2016-05,18.435678274824756,15.013792634500886,5253.0,121253,18.435678274824756,18.435678274824756,observed,observed,,
2016-06,26.995906632435283,14.572276286859813,5280.0,121253,26.995906632435283,26.995906632435283,observed,observed,,
2016-07,33.82276276807624,14.861762941805162,5309.5,121253,33.82276276807624,33.82276276807624,observed,observed,,
2016-08,31.522500005507975,15.983319455177698,5346.5,121253,31.522500005507975,31.522500005507975,observed,observed,,
2016-09,nan,nan,nan,0,nan,29.788630871875316,filled,SSA-filling-a,24,10
2016-10,nan,nan,nan,0,nan,26.11843431364288,filled,SSA-filling-a,24,10
2016-11,19.904896974669484,21.38491307697202,5444.5,121253,19.904896974669484,19.904896974669484,observed,observed,,
2016-12,17.15257443211796,21.356227715170363,5471.5,121253,17.15257443211796,17.15257443211796,observed,observed,,
2017-01,9.459925260478563,21.69795146399733,5499.0,121253,9.459925260478563,9.459925260478563,observed,observed,,
2017-02,nan,nan,nan,0,nan,13.623950513739144,filled,SSA-filling-a,24,10
2017-03,17.676550219888952,21.82753428448866,5568.5,121253,17.676550219888952,17.676550219888952,observed,observed,,
2017-04,16.921970408415675,21.598432516210504,5592.5,121253,16.921970408415675,16.921970408415675,observed,observed,,
2017-05,18.63258949713248,21.14027515555733,5610.5,121253,18.63258949713248,18.63258949713248,observed,observed,,
2017-06,25.765752107440786,21.859820417872715,5640.0,121253,25.765752107440786,25.765752107440786,observed,observed,,
2017-07,nan,nan,nan,0,nan,31.093808069093534,filled,SSA-filling-b,36,4
2017-08,nan,nan,nan,0,nan,32.93374173298044,filled,SSA-filling-b,36,4
2017-09,nan,nan,nan,0,nan,32.08220537568715,filled,SSA-filling-b,36,4
2017-10,nan,nan,nan,0,nan,28.761082173109216,filled,SSA-filling-b,36,4
2017-11,nan,nan,nan,0,nan,23.88014761472902,filled,SSA-filling-b,36,4
2017-12,nan,nan,nan,0,nan,18.76463798666976,filled,SSA-filling-b,36,4
2018-01,nan,nan,nan,0,nan,14.813196920307472,filled,SSA-filling-b,36,4
2018-02,nan,nan,nan,0,nan,13.115846270346028,filled,SSA-filling-b,36,4
2018-03,nan,nan,nan,0,nan,14.180015441011992,filled,SSA-filling-b,36,4
2018-04,nan,nan,nan,0,nan,17.787290480727755,filled,SSA-filling-b,36,4
2018-05,nan,nan,nan,0,nan,23.050507237949375,filled,SSA-filling-b,36,4
2018-06,23.463703431369133,14.519260621919566,6010.0,121253,23.463703431369133,23.463703431369133,observed,observed,,
2018-07,33.62459395004099,15.21772531456297,6034.0,121253,33.62459395004099,33.62459395004099,observed,observed,,
2018-08,nan,nan,nan,0,nan,36.482693800396426,filled,SSA-filling-a,24,10
2018-09,nan,nan,nan,0,nan,34.484024321980904,filled,SSA-filling-a,24,10
2018-10,30.293159301618932,15.452976657931714,6147.5,121253,30.293159301618932,30.293159301618932,observed,observed,,
2018-11,25.236580696606477,14.611272737500334,6163.0,121253,25.236580696606477,25.236580696606477,observed,observed,,
2018-12,16.240693901024056,14.633691633334903,6193.5,121253,16.240693901024056,16.240693901024056,observed,observed,,
2019-01,19.01281078011785,14.707491304529565,6224.5,121253,19.01281078011785,19.01281078011785,observed,observed,,
2019-02,16.52644834648769,15.223745739712928,6253.0,121253,16.52644834648769,16.52644834648769,observed,observed,,
2019-03,21.670403200596407,14.660488857905401,6283.5,121253,21.670403200596407,21.670403200596407,observed,observed,,
