month,c3s_equivalent_gmsl_mm,sio_thermosteric_mm,sio_halosteric_mm,sio_totalsteric_mm,dmi_hadisst,csr_ocean_mass_reference_mm,noaa_topex_poseidon_mm,noaa_jason_1_mm,noaa_jason_2_mm,noaa_jason_3_mm,noaa_sentinel_6mf_mm,original_csr_ocean_mass_reference_mm,filled_csr_ocean_mass_reference_mm,fill_status,ssa_category,ssa_M,ssa_K
2014-10,69.51748103472832,-4.738977178931236,-1.7789402045309544,-4.7651007771492,0.14100000262260437,15.318563619609737,nan,nan,44.46333333333333,nan,nan,15.318563619609737,15.318563619609737,observed,observed,,
2014-11,69.57134929288861,-5.993184167891741,-2.029767958447337,-6.269372068345547,0.008999999612569809,10.603982746380288,nan,nan,41.55666666666667,nan,nan,10.603982746380288,10.603982746380288,observed,observed,,
2014-12,68.0262839351851,-3.2274839468300343,-1.784266671165824,-3.256847383454442,0.04600000008940697,nan,nan,nan,45.35,nan,nan,nan,4.185388322892347,filled,SSA-filling-a,24,10
2015-01,66.67939102342179,-3.7593012675642967,-1.1527398601174355,-3.160931169986725,-0.10000000149011612,1.8422233713132095,nan,nan,44.846666666666664,nan,nan,1.8422233713132095,1.8422233713132095,observed,observed,,
2015-02,64.67080576800916,0.09310820314567536,-1.861235243268311,-0.018114104022970423,-0.3449999988079071,4.846068113197552,nan,nan,49.09,nan,nan,4.846068113197552,4.846068113197552,observed,observed,,
2015-03,63.969477326078575,5.186603870242834,-1.9398822914808989,4.997951909899712,-0.2409999966621399,3.1500844597859934,nan,nan,48.370000000000005,nan,nan,3.1500844597859934,3.1500844597859934,observed,observed,,
2015-04,62.5746561953245,6.984936539083719,-2.5352686643600464,6.200713105499744,-0.00800000037997961,4.672624896640993,nan,nan,49.64000000000001,nan,nan,4.672624896640993,4.672624896640993,observed,observed,,
2015-05,63.300884521231396,7.2831930592656136,-2.7660897467285395,6.272073835134506,0.23999999463558197,nan,nan,nan,47.53333333333333,nan,nan,nan,7.730500794232145,filled,SSA-filling-a,24,10
2015-06,62.50915819934902,1.4660537708550692,-1.61523069255054,1.6099975910037756,0.29600000381469727,nan,nan,nan,50.41,nan,nan,nan,15.33181896509121,filled,SSA-filling-a,24,10
2015-07,65.86757170854796,-0.3417261759750545,-1.8740027444437146,-0.45800433144904673,0.22499999403953552,21.94784048827808,nan,nan,50.03333333333333,nan,nan,21.94784048827808,21.94784048827808,observed,observed,,
2015-08,69.74472743544653,-1.2968041701242328,-1.50606210809201,-1.0491786524653435,0.5680000185966492,25.10853250087741,nan,nan,52.15,nan,nan,25.10853250087741,25.10853250087741,observed,observed,,
2015-09,77.4783889082811,-0.9520650492049754,-0.786632823292166,0.012636955943889916,0.2939999997615814,24.875322594506287,nan,nan,53.81666666666666,nan,nan,24.875322594506287,24.875322594506287,observed,observed,,
2015-10,81.6621914975482,-0.5967979086562991,-1.287353690713644,-0.1338912989012897,0.4819999933242798,nan,nan,nan,55.94333333333333,nan,nan,nan,21.674300967677553,filled,SSA-filling-a,24,10
2015-11,79.38611860465879,-0.4634026263374835,-0.3115196304861456,0.9815868688747287,0.34700000286102295,nan,nan,nan,52.629999999999995,nan,nan,nan,17.351178922801388,filled,SSA-filling-a,24,10
