time,gmsl,barystatic,steric,oni,sum
2020-12-15,-1.5284520007485156,1.0564959744994646,-2.0672555942236595,-1.06,-1.0107596197241948
2021-01-15,-2.3758893109559645,0.5223546346394639,-1.599568019998956,-0.99,-1.077213385359492
2021-02-15,-2.297219894402521,0.13362581887513866,-1.8858453795534895,-0.85,-1.7522195606783508
2021-03-15,-2.185411007211755,-0.2981962699946349,-2.7617155568193383,-0.74,-3.0599118268139733
2021-04-15,-0.7887521199041931,-0.8009779312798124,-2.857538250627738,-0.56,-3.6585161819075505
2021-05-15,-0.5229314628645625,-0.6835696424657627,-2.133099413971115,-0.4,-2.8166690564368775
2021-06-15,-0.41867977059801353,-0.3526574662229009,-0.4005596495214639,-0.31,-0.7532171157443648
2021-07-15,-0.6672529269004551,0.8483346182664431,-0.8798104001757187,-0.35,-0.03147578190927558
2021-08-15,-0.5706350949960685,1.16677704902983,-0.8029257200373277,-0.46,0.3638513289925023
2021-09-15,-0.2694005387459413,1.995098849840056,-1.4431651409227968,-0.64,0.5519337089172591
2021-10-15,-0.6330336196672921,3.0865565115060813,-1.3661772028953214,-0.77,1.72037930861076
2021-11-15,-1.2768676076357033,4.457407015365932,-1.9182540165022597,-0.91,2.5391529988636727
2021-12-15,-1.4870427703449374,3.7881773716398457,-1.5176929402616148,-0.83,2.2704844313782306
2022-01-15,-1.7204080860070783,2.3214394759278734,-1.2192488743659056,-0.76,1.1021906015619678
2022-02-15,-1.048715374419577,0.04913834400838368,-1.7404449027865967,-0.68,-1.691306558778213
2022-03-15,-1.2644782401910437,-0.7949800995353027,-2.5234674968578714,-0.77,-3.318447596393174
2022-04-15,-1.7888387923969966,-2.166491871749797,-1.8863197666698206,-0.86,-4.052811638419618
2022-05-15,-2.730811613507048,-2.5860476884274797,-1.1736761304207033,-0.83,-3.759723818848183
2022-06-15,-2.9438252398495828,-0.8744299787007961,-1.3682623321474439,-0.73,-2.24269231084824
2022-07-15,-2.8004834413327444,0.011900543463340796,-1.4001594630300027,-0.7,-1.388258919566662
2022-08-15,-3.177464629044157,0.5745085282798676,-0.7020557724888518,-0.78,-0.1275472442089841
2022-09-15,-4.042858606946685,-0.6531981493336734,0.041874989295836884,-0.87,-0.6113231600378365
2022-10-15,-4.777136808395824,0.07016438460729546,-0.6763000928578471,-0.89,-0.6061357082505516
2022-11-15,-4.342516940477258,-0.019607512910095437,-2.317351127763878,-0.82,-2.3369586406739735
2022-12-15,-3.473367251695047,-0.5111185755923664,-2.9618812844290185,-0.7,-3.472999860021385
2023-01-15,-3.14522724667295,-2.0998034028926726,-2.9208838043772682,-0.55,-5.0206872072699404
2023-02-15,-3.4839824147952494,-2.8375292420383844,-2.1924790100710734,-0.33,-5.030008252109457
2023-03-15,-4.393917692110596,-4.647556632706203,-1.0530312419062469,-0.11,-5.70058787461245
2023-04-15,-3.749492539275361,-4.640684170536328,-0.5080186331431893,0.19,-5.148702803679518
2023-05-15,-2.2269290509758073,-4.071335751004477,0.035376062061914126,0.46,-4.035959688942563
2023-06-15,0.09406224203056959,-0.7820930601372057,0.07753555126208174,0.73,-0.7045575088751239
2023-07-15,2.2760019311658604,0.5679009953176326,0.3339743372761852,1.0,0.9018753325938178
2023-08-15,3.5461783570230097,0.7370052192243552,1.006781909706919,1.25,1.7437871289312743
2023-09-15,4.676140330684722,1.752023854074481,1.6584747165323357,1.5,3.4104985706068165
2023-10-15,5.76171858680965,3.1507391681144363,2.201888596506416,1.74,5.352627764620852
2023-11-15,6.970316579927825,4.735171922336706,2.837830763025063,1.9,7.573002685361769
2023-12-15,6.726851849326787,3.5008951774574086,2.851894523004575,1.99,6.352789700461983
2024-01-15,5.794785373945037,1.9634284011691463,3.6640691595742276,1.84,5.6274975607433735
2024-02-15,3.9653157711597746,1.8176226714259998,3.2194352973675255,1.53,5.037057968793525
2024-03-15,2.8490554477136336,2.6220849845336147,2.938328205347763,1.18,5.560413189881378
2024-04-15,1.796568542582482,2.991070938628218,2.74511773079354,0.77,5.736188669421757
2024-05-15,1.3497041378684949,2.319473270924644,2.790919812897628,0.43,5.110393083822272
2024-06-15,0.4059807413106758,-0.0026734173542889428,2.2083468772822994,0.18,2.2056734599280103
2024-07-15,-1.1436667343668128,-2.1070681188613323,1.0327412317292126,0.06,-1.0743268871321197
2024-08-15,-3.204523816564157,-2.698300849073256,1.0078028625806148,-0.04,-1.690497986492641
2024-09-15,-3.8170953659214883,-2.710938281656668,1.3244787606610586,-0.12,-1.3864595209956092
2024-10-15,-3.8169651525333466,-1.8695281575808118,1.5331659057581009,-0.19,-0.33636225182271096
