month,gmsl_mm,steric_mm,csr_reference_ocean_mass_mm,custom_l3_ocean_mass_mm,forward_ocean_mass_mm,custom_l3_valid_month,custom_l3_reconstructed_month,custom_l3_effective_month,forward_valid_month,forward_reconstructed_month,forward_effective_month,gmsl_gia_corrected_input_mm,gmsl_gia_wtc_corrected_input_mm,custom_l3_gap_filled_input_mm,custom_l3_interpolated_month,gmsl_centered_mm,gmsl_smoothed_mm,gmsl_detrended_centered_mm,gmsl_detrended_smoothed_mm,steric_centered_mm,steric_smoothed_mm,steric_detrended_centered_mm,steric_detrended_smoothed_mm,csr_reference_centered_mm,csr_reference_smoothed_mm,csr_reference_detrended_centered_mm,csr_reference_detrended_smoothed_mm,custom_l3_centered_mm,custom_l3_smoothed_mm,custom_l3_detrended_centered_mm,custom_l3_detrended_smoothed_mm,forward_centered_mm,forward_smoothed_mm,forward_detrended_centered_mm,forward_detrended_smoothed_mm,budget_sum_centered_mm,budget_sum_smoothed_mm,budget_sum_detrended_centered_mm,budget_sum_detrended_smoothed_mm,gmsl_display_panel_a_mm,gmsl_display_panel_b_mm,custom_l3_display_panel_a_mm,custom_l3_display_panel_b_mm,steric_display_panel_a_mm,steric_display_panel_b_mm,budget_sum_display_panel_a_mm,budget_sum_display_panel_b_mm
2017-02,70.2700427408,3.64619051106,,-8.62518393381,,0,1,1,0,0,0,68.9245427408,68.3828760741,-8.62518393381,0,-8.18033255004,-7.51504077617,-1.08353203132,-0.418240257444,-3.52299836299,-3.21435445266,-0.237488309788,0.0711556005351,,,,,-2.68327490914,-4.38622058586,0.380704154827,-1.32224152189,,,,,-6.20627327212,-7.60057503852,0.143215845039,-1.25108592136,-7.51504077617,-0.418240257444,-14.3862205859,-6.32224152189,-23.2143544527,-9.92884439946,-7.60057503852,-1.25108592136
2017-03,68.9912223232,6.52073603123,4.76087057653,-13.8213364549,-11.8903606104,1,0,1,1,0,1,67.6112223232,67.0278889898,-13.8213364549,0,-7.35196671124,-7.27668996381,-0.52296998568,-0.447693238244,-3.53447801602,-3.42715503785,-0.372949474265,-0.265626496096,-5.01481659392,,-1.75842126882,,-5.29348357974,-4.3091826949,-2.34512636725,-1.3608254824,-3.64992129322,,-3.27676191917,,-8.82796159576,-7.73633773275,-2.71807584151,-1.6264519785,-7.27668996381,-0.447693238244,-14.3091826949,-6.3608254824,-23.4271550379,-10.2656264961,-7.73633773275,-1.6264519785
2017-04,68.9221437507,7.88024254143,5.25165254653,-15.9275323627,-13.1625843623,1,0,1,1,0,1,67.5076437507,66.8826437507,-15.9275323627,0,-6.29777063014,-6.98274064017,0.263422302262,-0.421547707765,-3.22398873455,-3.27453792885,-0.186441704235,-0.236990898537,-2.81229434552,-2.86450253671,0.341477491074,0.28926929988,-4.95078959581,-4.61143837159,-2.11805423478,-1.77870301057,-1.98265095878,-2.23003242027,-1.62125149497,-1.86863295646,-8.17477833036,-7.88597630044,-2.30449593902,-2.0156939091,-6.98274064017,-0.421547707765,-14.6114383716,-6.77870301057,-23.2745379289,-10.2369908985,-7.88597630044,-2.0156939091
2017-05,67.2109551195,6.88713835552,9.02997264305,-12.6275011473,-10.0412852743,1,0,1,1,0,1,65.7619551195,65.0952884529,-12.6275011473,0,-7.29848457912,-7.0068943313,-1.00509543988,-0.71350519205,-3.06514703598,-3.24959714712,-0.15158151711,-0.336031628247,-0.766396670701,-3.00527557025,2.28475167739,0.0458727778346,-3.59004193922,-5.51975920298,-0.872928429669,-2.80264569343,-1.05752500881,-3.24805646769,-0.707885455245,-2.89841691412,-6.6551889752,-8.7693563501,-1.02450994678,-3.13867732167,-7.0068943313,-0.71350519205,-15.519759203,-7.80264569343,-23.2495971471,-10.3360316282,-8.7693563501,-3.13867732167
2017-06,67.7333257828,2.79836426489,12.2578219916,-13.0033130768,-11.9752954066,1,0,1,1,0,1,66.2498257828,65.5414924495,-13.0033130768,0,-7.42442778462,-7.10909067645,-1.39884243853,-1.08350533036,-3.45965567083,-2.80152300227,-0.670071663394,-0.0119389948381,-5.43713569454,,-2.48861083496,,-8.01844607391,-5.6987406967,-5.41695441583,-3.09724903862,-6.70399343547,,-6.36611379215,,-11.4781017447,-8.50026369897,-6.08702607922,-3.10918803346,-7.10909067645,-1.08350533036,-15.6987406967,-8.09724903862,-22.8015230023,-10.0119389948,-8.50026369897,-3.10918803346
2017-07,70.9123862202,0.451073661679,,-2.38980396112,,0,1,1,0,0,0,69.3943862202,68.6443862202,-2.38980396112,0,-6.6043596656,-6.40371479824,-0.846578112674,-0.645933245313,-1.8797663,-2.60544705539,0.78583619599,0.0601554405986,,,,,-5.48773407696,-5.94242040356,-3.00186427035,-3.45655059695,,,,,-7.36750037697,-8.54786745895,-2.21602807436,-3.39639515635,-6.40371479824,-0.645933245313,-15.9424204036,-8.45655059695,-22.6054470554,-9.9398445594,-8.54786745895,-3.39639515635
2017-08,75.8396529654,-2.73607322015,,1.76498655684,,0,1,1,0,0,0,74.2871529654,73.4954862987,1.76498655684,0,-5.1823569445,-5.6793300647,0.307620815269,-0.189352304932,-2.47691919535,-2.79280822491,0.0647017892003,-0.251187240362,,,,,-4.3210810598,-4.91389518856,-1.95083310466,-2.54364723341,,,,,-6.79800025515,-7.70670341347,-1.88613131546,-2.79483447378,-5.6793300647,-0.189352304932,-14.9138951886,-7.54364723341,-22.7928082249,-10.2511872404,-7.70670341347,-2.79483447378
2017-09,80.5669890864,-2.61343666352,,3.28543249968,,0,1,1,0,0,0,78.9799890864,78.1466557531,3.28543249968,0,-5.251273584,-5.17767031913,-0.0290996173904,0.044503647474,-4.02173917938,-3.07665112333,-1.60409970628,-0.659011650218,,,,,-4.9328704289,-5.08560661947,-2.67824432523,-2.8309805158,,,,,-8.95460960829,-8.1622577428,-4.28234403151,-3.48999216602,-5.17767031913,0.044503647474,-15.0856066195,-7.8309805158,-23.0766511233,-10.6590116502,-8.1622577428,-3.48999216602
2017-10,84.7164445956,-0.803969567642,,3.05322534314,,0,1,1,0,0,0,83.0949445956,82.2199445956,3.05322534314,0,-5.0993804289,-4.97023967528,-0.145010255456,-0.0158695018344,-2.73129499524,-3.22052563338,-0.437637033577,-0.92686767171,,,,,-6.00286836971,-5.48517064686,-3.86386411751,-3.34616639466,,,,,-8.73416336495,-8.70569628023,-4.30150115109,-4.27303406637,-4.97023967528,-0.0158695018344,-15.4851706469,-8.34616639466,-23.2205256334,-10.9268676717,-8.70569628023,-4.27303406637
2017-11,84.1317409191,-0.417992443545,,1.77206517973,,0,1,1,0,0,0,82.4757409191,81.5590742524,1.77206517973,0,-4.56006501295,-4.43562301385,0.126501367344,0.250943366437,-2.9085427255,-3.43577045043,-0.738866275275,-1.2660940002,,,,,-5.51977314196,-5.28262249177,-3.49639074123,-3.25924009104,,,,,-8.42831586746,-8.71839294219,-4.2352570165,-4.52533409124,-4.43562301385,0.250943366437,-15.2826224918,-8.25924009104,-23.4357704504,-11.2660940002,-8.71839294219,-4.52533409124
2017-12,81.8819205257,-0.72613498196,,-0.621021375443,,0,1,1,0,0,0,80.1914205257,79.2330871924,-0.621021375443,0,-3.64742359971,-3.97367694691,0.771338987423,0.445085640219,-4.66747363054,-3.95132026936,-2.62177869175,-1.90562533058,,,,,-4.32522596363,-4.07091726179,-2.41746541437,-2.16315671253,,,,,-8.99269959417,-8.02223753115,-5.03924410612,-4.06878204311,-3.97367694691,0.445085640219,-14.0709172618,-7.16315671253,-23.9513202694,-11.9056253306,-8.02223753115,-4.06878204311
2018-01,78.4148723965,1.07175135054,,-4.51345562193,,0,1,1,0,0,0,76.6898723965,75.6898723965,-4.51345562193,0,-3.71354222808,-4.04874209329,0.437416565891,0.102216700683,-4.27794445206,-4.23705600099,-2.35623102471,-2.31534257364,,,,,-2.36775267977,-3.33645937216,-0.575613981984,-1.54432067437,,,,,-6.64569713183,-7.57351537314,-2.9318450067,-3.85966324801,-4.04874209329,0.102216700683,-13.3364593722,-6.54432067437,-24.237056001,-12.3153425736,-7.57351537314,-3.85966324801
2018-02,74.5791148387,3.40343895368,,-9.25830849774,,0,1,1,0,0,0,72.8196148387,71.7779481721,-9.25830849774,0,-4.78526045208,-4.67503646632,-0.902105451266,-0.79188146551,-3.76574992037,-3.60271208577,-1.96801800447,-1.80498016987,,,,,-3.31639947307,-3.40463250899,-1.63988262675,-1.72811566267,,,,,-7.08214939343,-7.00734459476,-3.60790063121,-3.53309583254,-4.67503646632,-0.79188146551,-13.404632509,-6.72811566267,-23.6027120858,-11.8049801699,-7.00734459476,-3.53309583254
